"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 04 22:34:41 CEST 2024","Fri Oct 04 22:34:41 CEST 2024","220","tests","test_user","TestUser","","","Залогиниться пользователем",""
"passed","Fri Oct 04 22:34:36 CEST 2024","Fri Oct 04 22:34:36 CEST 2024","354","tests","test_order","TestOrder","","","Получение заказов",""
"passed","Fri Oct 04 22:34:41 CEST 2024","Fri Oct 04 22:34:41 CEST 2024","222","tests","test_user","TestUser","","","Залогиниться с некорректными данными",""
"passed","Fri Oct 04 22:34:36 CEST 2024","Fri Oct 04 22:34:37 CEST 2024","178","tests","test_order","TestOrder","","","Получение заказов",""
"passed","Fri Oct 04 22:34:41 CEST 2024","Fri Oct 04 22:34:41 CEST 2024","156","tests","test_user","TestUser","","","Залогиниться с некорректными данными",""
"passed","Fri Oct 04 22:34:42 CEST 2024","Fri Oct 04 22:34:42 CEST 2024","181","tests","test_user","TestUser","","","Обновить информацию не передавая токен",""
"passed","Fri Oct 04 22:34:40 CEST 2024","Fri Oct 04 22:34:41 CEST 2024","153","tests","test_user","TestUser","","","Создать пользователя не заполнив обязательное поле",""
"passed","Fri Oct 04 22:34:40 CEST 2024","Fri Oct 04 22:34:40 CEST 2024","225","tests","test_user","TestUser","","","Создать пользователя",""
"failed","Fri Oct 04 22:34:35 CEST 2024","Fri Oct 04 22:34:36 CEST 2024","177","tests","test_order","TestOrder","","","Создание заказа без токена",""
"passed","Fri Oct 04 22:34:41 CEST 2024","Fri Oct 04 22:34:42 CEST 2024","166","tests","test_user","TestUser","","","Обновить информацию не передавая токен",""
"passed","Fri Oct 04 22:34:39 CEST 2024","Fri Oct 04 22:34:39 CEST 2024","216","tests","test_user","TestUser","","","Обновить информацию о пользователе с передачей токена.",""
"passed","Fri Oct 04 22:34:38 CEST 2024","Fri Oct 04 22:34:38 CEST 2024","259","tests","test_user","TestUser","","","Обновить информацию о пользователе с передачей токена.",""
"passed","Fri Oct 04 22:34:40 CEST 2024","Fri Oct 04 22:34:40 CEST 2024","151","tests","test_user","TestUser","","","Создать пользователя не заполнив обязательное поле",""
"passed","Fri Oct 04 22:34:40 CEST 2024","Fri Oct 04 22:34:40 CEST 2024","173","tests","test_user","TestUser","","","Создать пользователя не заполнив обязательное поле",""
"passed","Fri Oct 04 22:34:40 CEST 2024","Fri Oct 04 22:34:40 CEST 2024","162","tests","test_user","TestUser","","","Создать пользователя, с кредами уже существующего",""
"passed","Fri Oct 04 22:34:42 CEST 2024","Fri Oct 04 22:34:43 CEST 2024","153","tests","test_user","TestUser","","","Обновить информацию не передавая токен",""
"passed","Fri Oct 04 22:34:35 CEST 2024","Fri Oct 04 22:34:35 CEST 2024","171","tests","test_order","TestOrder","","","Создание заказа с некорректным хэшем",""
"passed","Fri Oct 04 22:34:37 CEST 2024","Fri Oct 04 22:34:37 CEST 2024","249","tests","test_user","TestUser","","","Обновить информацию о пользователе с передачей токена.",""
